food_code,food_name_en,food_name_bn,food_group,meal_slots,role,pairs_with_groups,compatibility_score,notes
10_0001,"Beef liver, raw",গরুর কলিজা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0002,"Beef, meat, lean, boneless, raw",হাড় ও চর্বি ছাড়া গরুর মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.88,Beef (goru mangsho) — popular at special occasions and Eid. Rich curry served with rice or roti.
10_0003,"Beef, meat, 15-20% fat, boneless, raw",হাড় ছাড়া গরুর মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0004,"Beef, mince, lean, raw",গরুর মাংসের কিমা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0005,"Buffalo meat, raw",মহিষের মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0006,"Chicken breast, without skin, raw",মুরগির (বুকের) মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0007,"Chicken leg, without skin, raw",মুরগির (রানের) মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0008,"Chicken liver, raw",মুরগির কলিজা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0009,"Duck, meat, raw",হাঁসের মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0010,"Frog, legs, raw",ব্যাঙ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0011,"Goat meat, lean, raw",খাসির মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0012,"Lamb/mutton, meat, moderately fat, raw",ভেড়ার মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0013,"Lamb/Mutton, liver, raw",ভেড়ার কলিজা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0014,"Pigeon meat, raw",কবুতরের মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0015,"Pork, meat, <5 % fat, raw",শুয়োরের মাংস,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
10_0016,Beef handi kabab,হাঁড়ি কাবাব (গরু),Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O001,"Goat, shoulder, meat",খাসির কাঁধ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O002,"Goat, chops",খাসির চাপ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O003,"Goat, legs",খাসির পা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O004,"Goat, brain",খাসির মগজ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O008,"Goat, liver",খাসির কলিজা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O009,"Goat, tripe",খাসির ভুরি,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O014,"Sheep, shoulder",ভেড়ার কাঁধ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O015,"Sheep, chops",ভেড়ার চাপ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
